"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI52788660",1623515,"05.12.03","2"
"SI52889709",1697643,"22.04.04","1"
"SI32889488",1697854,"05.06.04","2"
"SI22252995",1625621,"11.12.01","2"
"SI82755447",1626764,"18.02.00","2"
"SI92837083",1626829,"24.12.03","2"
"SI62862820",1697975,"14.05.04","2"
"SI12754883",1627751,"16.12.03","1"
"SI1534403",1627760,"01.08.91","2"
"SI82783284",1628619,"13.12.03","1"
"SI32839775",1628915,"28.09.03","2"
"SI42839774",1628918,"10.09.03","2"
"SI32755459",1631083,"22.12.03","2"
"SI22850005",1699809,"01.06.04","1"
"SI52783311",1631286,"29.12.03","1"
"SI1479292",1631592,"30.06.88","2"
"SI52805954",1631895,"13.07.03","2"
"SI72787155",1632107,"24.12.03","2"
"SI32850004",1699817,"03.06.04","1"
"SI32757107",1632376,"30.12.03","1"
"SI62757104",1632412,"27.11.03","2"
"SI12756524",1632709,"17.11.03","2"
"SI1613235",1634517,"30.06.90","2"
"SI62837093",1634708,"07.12.03","2"
"SI32837096",1634725,"12.01.04","1"
"SI52859001",1635332,"20.12.03","2"
"SI42756679",1636024,"03.01.04","1"
"SI02756680",1636027,"10.01.04","1"
"SI52352119",1637221,"06.12.03","1"
"SI32889842",1701556,"06.06.04","1"
"SI22889843",1701631,"04.06.04","1"
"SI72859511",1638374,"05.01.04","2"
"SI02859518",1640344,"18.01.04","1"
"SI52859520",1640356,"10.12.03","2"
"SI92859526",1640358,"02.01.04","2"
"SI82859527",1640360,"29.11.03","2"
"SI62889849",1702440,"31.05.04","1"
"SI82889490",1702528,"12.06.04","2"
"SI72889491",1702533,"14.06.04","2"
"SI62889492",1702534,"05.06.04","1"
"SI52889493",1702535,"01.06.04","2"
"SI42889494",1702536,"08.06.04","1"
"SI32889495",1702541,"18.06.04","2"
"SI82656991",1906131,"05.04.04","1"
"SI42654216",1906146,"27.03.04","2"
"SI12661765",1907797,"30.05.04","1"
"SI42657374",1907948,"04.05.04","2"
"SI52660715",1910354,"27.05.04","1"
"SI32662362",1912097,"21.06.04","1"
"SI32662025",1912403,"16.08.04","1"
"SI02912158",1703482,"17.06.04","2"
"SI22647889",1913098,"16.07.04","2"
"SI32647888",1913099,"09.09.04","2"
"SI82647890",1913100,"02.07.04","2"
"SI22660804",1913768,"10.09.04","1"
"SI52850033",1704179,"20.11.03","1"
"SI92850039",1704520,"15.06.04","2"
"SI12667008",1914611,"27.09.04","2"
"SI42666891",1914684,"08.09.04","2"
"SI22889496",1705010,"21.06.04","2"
"SI62913919",1705529,"21.05.04","1"
"SI92666937",1916089,"20.10.04","1"
"SI62657451",1916880,"27.06.04","2"
"SI12885747",1706305,"07.06.04","1"
"SI22849957",1706515,"13.05.04","2"
"SI82667465",1917393,"02.11.04","1"
"SI92889884",1706927,"17.06.04","2"
"SI22667368",1917912,"06.11.04","1"
"SI82913151",1708305,"18.05.04","2"
"SI72913152",1708306,"04.06.04","1"
"SI32863879",1708336,"01.07.04","2"
"SI62849960",1708999,"04.06.04","2"
"SI52849961",1709001,"19.06.04","2"
"SI92885794",1711844,"12.05.04","2"
"SI62889959",1712152,"18.05.04","1"
"SI32889529",1712668,"06.07.04","2"
"SI12849972",1713797,"19.05.04","2"
"SI42889968",1716240,"14.06.04","1"
"SI72863246",1717427,"07.07.04","2"
"SI62863247",1717428,"07.07.04","2"
"SI72859944",1718089,"17.07.04","1"
"SI42894735",1718104,"11.06.04","1"
"SI52894734",1718107,"11.06.04","2"
"SI92885811",1718860,"20.07.04","2"
"SI52859960",1718884,"04.07.04","2"
"SI42895891",1719127,"14.07.04","2"
"SI1534428",1719132,"10.05.92","2"
