708,SI04574073
709,SI44931920
710,SI04931948
711,SI85093087
712,SI25093090
713,SI15093091
714,SI05093092
715,SI35093082
716,SI25093083
717,SI15093084
718,SI95093079
719,SI15093077
SI 1658,SI54559202
SI 1659,SI34933002
SI 1660,SI34295470
SI 2088,SI44559203
SI 2089,SI74170098
SI 2090,SI24933003
SI 2091,SI94170106
SI 2092,SI74559190
SI 2093,SI94933006
SI 2094,SI44671451
SI 2095,SI54694279
SI 2096,SI92495481
SI 2097,SI04559197
SI 2098,SI53881663
SI 2099,SI64295491
SI 2100,SI74694284
SI 2519,SI04984867
SI 2520,SI85131174
SI 2801,SI14933011
SI 2802,SI34785108
SI 2803,SI34785108
SI 2804,SI64312400
SI 2805,SI54128000
SI 2806,SI63795596
SI 2807,SI14699632
SI 2808,SI34699685
SI 2809,SI14785100
SI 2810,SI54128017
SI 2811,SI24785109
SI 2812,SI94312438
SI 2813,SI44785121
SI 2814,SI04127970
SI 2815,SI74312368
SI 2816,SI43795622
SI 2817,SI54699669
SI 2818,SI54785096
SI 2819,SI04128043
SI 2820,SI84312367
SI 2821,SI14785155
SI 2822,SI34785098
SI 2823,SI64699637
SI 2824,SI05017049
SI 2825,SI35017046
SI 2826,SI15017055
SI 2827,SI95017057
SI 2828,SI75017059
SI 2829,SI05017056
SI 2830,SI84699635
SI 2831,SI35017053
SI 2832,SI85017058
SI 2833,SI25017016
SI 2834,SI05017025
SI 2835,SI85016992
SI 2836,SI65017020
SI 2837,SI85017010
SI 2838,SI35017015
SI 2839,SI65017029
SI 2840,SI15017000
SI 2841,SI95017026
SI 2842,SI65017036
SI 2843,SI85017041
SI 2844,SI85017003
SI 2845,SI65017043
SI 2846,SI55017037
SI 2847,SI85017027
SI 2848,SI44128001
SI 2849,SI84785158
SI 2850,SI75016986
SI 2851,SI64312383
SI 2852,SI73795674
SI 2853,SI84785134
SI 2854,SI74312447
SI 2855,SI25016981
SI 2856,SI03990766
SI 2857,SI13795591
SI 2858,SI24699648
SI 2859,SI43795608
SI 2860,SI94699689
SI 2861,SI14699656
SI 2862,SI25279205
SI 2863,SI25279217
SI 2864,SI15279213
SI 2865,SI95279208
SI 2866,SI15279220
SI 2867,SI35155580
SI 2868,SI45279203
SI 2869,SI55279202
SI 2870,SI05155576
SI 2871,SI15279206
SI 2872,SI25155574
SI 2873,SI75155579
SI 2874,SI65279218
SI 2875,SI45279210
SI 2876,SI24312411
SI 2877,SI14699670
SI 2878,SI14312405
SI 2879,SI74699681
SI 2880,SI34699647
SI 2881,SI74127997
SI 3101,SI14975844
SI 3281,SI64852803
SI 3282,SI14590258
SI 3283,SI84309334
SI 3284,SI14754274
SI 3286,SI34852813
SI 3287,SI15006567
SI 3288,SI55006570
SI 3289,SI74309328
SI 3291,SI24701316
SI 3292,SI94701326
SI 3293,SI84701327
SI 3294,SI54755051
SI 3295,SI74701319
SI 3296,SI44309345
SI 3297,SI24480718
SI 3298,SI24307323
SI 3299,SI84314390
SI 3300,SI14309348
SI 3301,SI74480720
SI 3302,SI94595695
SI 3303,SI33926176
SI 3304,SI04852823
SI 3305,SI34754265
SI 3306,SI74314377
SI 3307,SI25006566
SI 3308,SI65006579
SI 3309,SI35006572
SI 3310,SI95006583
SI 3311,SI04933005
SI 3312,SI23881673
SI 3313,SI84933007
SI 3314,SI44933001
SI 3315,SI54694286
SI 3316,SI04694298
SI 3317,SI74559200
SI 3318,SI94694282
SI 3319,SI24933010
SI 3320,SI94295474
SI 3501,SI14933004
SI 3502,SI34295487
SI 3503,SI34295487
SI 3504,SI64694292
SI 3505,SI84933021
SI 3506,SI74933022
SI 3507,SI34933026
SI 3508,SI44933025
SI 3509,SI54933024
SI 3510,SI64933023
SI 3511,SI34933019
SI 3512,SI94933020
SI 3513,SI64933009
SI 3514,SI04933012
SI 3515,SI74933008
SI 3516,SI64933016
SI 3517,SI54933017
SI 3518,SI74933015
SI 3519,SI94933013
SI 3520,SI84933014
SI 3606,SI65148945
SI 3607,SI45146938
SI 3608,SI94968297
SI 3609,SI64976981
SI 3610,SI05027316
SI 3611,SI54976982
SI 3612,SI65075973
SI 3613,SI15067476
SI 3614,SI05143001
SI 3615,SI25067468
SI 3616,SI34968286
SI 3617,SI15064370
SI 3618,SI05075096
SI 3619,SI95141426
SI 3620,SI65100910
SI 4221,SI64483298
SI 4222,SI14832109
SI 4223,SI74483259
SI 4224,SI54952708
SI 4226,SI64832094
SI 4227,SI24832108
SI 4229,SI44832120
SI 4230,SI54726567
SI 4231,SI04483294
SI 4232,SI34726583
SI 4233,SI44832113
SI 4234,SI44832089
SI 4235,SI44250131
SI 4236,SI64952697
SI 4237,SI44483290
SI 4238,SI44726551
SI 4239,SI34483253
SI 4240,SI14832116
SI 4241,SI24832081
SI 4242,SI34952700
SI 4243,SI44832106
SI 4244,SI94832084
SI 4245,SI84726588
SI 4246,SI94832077
SI 4247,SI74952720
SI 4248,SI14832099
SI 4249,SI14952733
SI 4250,SI84832733
SI 4251,SI95067447
SI 4252,SI25067437
SI 4253,SI45087435
SI 4254,SI75067449
SI 4255,SI34952731
SI 4256,SI64952738
SI 4257,SI65067464
SI 4258,SI55067441
SI 4259,SI15067452
SI 4260,SI05067453
SI 4261,SI95067454
SI 4262,SI55067472
SI 4263,SI95283005
SI 4264,SI25283002
SI 4265,SI35283001
SI 4266,SI05283011
SI 4267,SI65150898
SI 4268,SI75283007
SI 4269,SI34747953
SI 4271,SI44809319
SI 4272,SI54839119
SI 4273,SI34809358
SI 4274,SI24747961
SI 4275,SI14489127
SI 4276,SI74489121
SI 4277,SI14747979
SI 4278,SI64489139
SI 4279,SI04809344
SI 4280,SI64839149
SI 4281,SI84747965
SI 4282,SI14747955
SI 4283,SI34809341
SI 4284,SI34326200
SI 4285,SI34489101
SI 4286,SI25107674
SI 4287,SI85107654
SI 4288,SI35107697
SI 4289,SI05107652
SI 4290,SI35107680
SI 4291,SI05107683
SI 4292,SI95107691
SI 4293,SI24956695
SI 4294,SI34956694
SI 4295,SI44956648
SI 4296,SI94956629
SI 4297,SI74956638
SI 4298,SI65107649
SI 4299,SI64956677
SI 4300,SI34956632
SI 4321,SI44489148
SI 4322,SI75116505
SI 4323,SI85113587
SI 4324,SI55116514
SI 4325,SI55116507
SI 4326,SI95116503
SI 4327,SI25116524
SI 4328,SI95116534
SI 4329,SI85116535
SI 4330,SI95196512
SI 4331,SI54279838
SI 4332,SI84833866
SI 4333,SI74353035
SI 4334,SI64833882
SI 4335,SI84582773
SI 4336,SI93552442
SI 4337,SI04833857
SI 4338,SI94353033
SI 4339,SI44525154
SI 4340,SI24743424
SI 4342,SI04465140
SI 4343,SI24525194
SI 4344,SI64525169
SI 4345,SI54833883
SI 4346,AT533020929
SI 4347,SI94833865
SI 4348,SI74279867
SI 4349,SI64833851
SI 4350,SI14743401
SI 4351,SI74771929
SI 4352,SI94121047
SI 4353,SI14833863
SI 4354,SI84771935
SI 4355,SI64525200
SI 4356,SI64525190
SI 4357,SI14771925
SI 4358,SI74525151
SI 4359,SI04771926
SI 4360,SI34771923
SI 4361,SI64279851
SI 4362,SI44582784
SI 4363,SI64833875
SI 4364,SI54353013
SI 4365,SI24771955
SI 4366,SI54121010
SI 4367,SI94833872
SI 4368,SI34743423
SI 4369,SI24465117
SI 4370,SI24950424
SI 4371,SI74950429
SI 4372,SI84950404
SI 4373,SI14833870
SI 4374,SI84950411
SI 4375,SI64950406
SI 4376,SI44950415
SI 4377,SI84950435
SI 4378,SI55020101
SI 4379,SI85020108
SI 4380,SI45020119
SI 4381,SI25020094
SI 4382,SI26020104
SI 4383,SI55020091
SI 4384,SI75020130
SI 4385,SI35020110
SI 4386,AT837555329
SI 4387,SI14582756
SI 4388,SI84833880
SI 4389,SI74743388
SI 4390,AT53301299
SI 4391,SI44217613
SI 4392,SI34582792
SI 4393,SI04743385
SI 4394,SI15195416
SI 4396,SI65195411
SI 4397,SI55195412
SI 4398,SI35195414
SI 4399,SI95195391
SI 4400,SI45195396
SI 4401,SI23925553
SI 4402,SI13925530
SI 4403,SI84672032
SI 4404,SI44565703
SI 4405,SI54565740
SI 4406,SI34672044
SI 4407,SI94565746
SI 4408,SI04131131
SI 4409,SI24672021
SI 4410,SI84672018
SI 4411,SI84672025
SI 4412,SI23925539
SI 4413,SI84131126
SI 4415,SI84565747
