SIC001,SI1390358
SIC002,SI1599347
SIC003,SI02488248
SIC004,SI92488249
SIC005,SI92223514
SIC006,SI02162779
SIC007,SI1673480
SIC008,SI1220042
SIC009,SI1292105
SIC010,SI1450861
SIC011,SI23058079
SIC012,SI83192032
SIC013,SI03217944
SIC014,SI73209995
SIC015,SI23075737
SIC016,SI83813195
SIC017,SIE03-69202
SIC018,SI83494530
SIC019,SI83754690
SIC020,SI13843412
SIC021,SI93389325
SIC022,SI1450863
SIC023,SI1987288
SIC024,SI1987290
SIC025,SI1614325
SIC026,SI1292143
SIC027,SI1613509
SIC028,SI23267703
SIC029,SI13267704
SIC030,SI43146640
SIC031,SI03392917
SIC032,SI33392907
SIC033,SI24531010
SIC034,SI34387803
SIC035,SI32757107
SIC036,SI1534428
SIC037,SI52645451
SIC038,SI22965295
SIC039,SI32965294
SIC040,SI82965220
SIC041,SI72352777
SIC042,SI1933025
SIC043,SI1772727
SIC044,SI62303695
SIC045,SI1891176
SIC046,SI53467388
SIC047,SI63453865
SIC048,SI33389455
SIC049,SI53607663
SIC050,SI63619821
SIC051,SI43793541
SIC052,SI43740440
SIC053,SI34775305
SIC054,SI04826703
SIC055,SI04796905
SIC056,SI04750996
SIC057,SI44940045
SIC058,SI84929286
SIC059,SI23967544
SIC060,SI65081590
SIC061,SI44210410
SIC062,SI03450909
SIC063,SI63449996
SIC064,SI54741797
SIC065,SI34759875
SIC066,SI34774500
SIC067,SI34797604
SIC068,SI04797566
SIC069,SI34518410
SIC070,SI14818145
SIC071,SI44577807
SIC072,SI35640361
SIC073,SI15332640
SIC074,SI84536411
SIC075,SI64536413
SIC076,SI74582860
SIC077,SI14574876
SIC078,SI84530295
SIC079,SI44579201
SIC080,SI75355542
SIC081,SI45389711
SIC082,SI55389703
SIC083,SI85254000
SIC084,SI65391545
SIC085,SI14343393
SIC086,SI14371628
SIC087,SI44791889
SIC088,SI55460404
SIC089,SI95120300
SIC090,SI45385267
SIC091,SI75386722
SIC092,SI95418269
SIC093,SI55504535
SIC094,SI25503049
SIC095,SI44088228
SIC096,SI35377742
SIC097,SI15526735
SIC098,SI55509925
SIC099,SI35438751
SIC100,SI1600404
SIC101,SI63136034
SIC102,SI92691269
SIC103,SI63136797
SIC104,SI03272400
SIC105,SI23373059
SIC106,SI93373629
SIC107,SI14462926
SIC108,SI14420076
SIC109,SI54442807
SIC110,SI04382533
SIC111,SI64385035
SIC112,SI52838088
SIC113,SI72838093
SIC114,SI1756818
SIC115,SI15281128
SIC116,SI45355112
SIC117,SI05385261
SIC118,SI85390700
SIC119,SI53805995
SIC120,SI25425293
SIC121,SI15429016
SIC122,SI25429912
SIC123,SI04177700
SIC124,SI34267406
SIC125,SI34166563
SIC126,SI84334350
SIC127,SI04342898
SIC128,SI95020839
SIC129,SI55173230
SIC130,SI75126339
SIC131,SI25289455
SIC132,SI85282696
SIC133,SI55168308
SIC134,SI05306552
SIC135,SI22175339
SIC136,SI1613510
SIC137,SI03004175
SIC138,SI63874532
SIC139,SI23520110
SIC140,SI24013459
SIC141,SI64058267
SIC142,SI45041170
SIC143,SI35029872
SIC144,SI65081583
SIC145,SI23633834
SIC146,SI64668756
SIC147,SI95168304
SIC148,SI75168306
SIC149,SI95020530
SIC150,SI94223613
SIC151,SI14173310
SIC152,SI44190295
SIC153,SI54166554
SIC154,SI34111738
SIC155,SI83454022
SIC156,SI45170063
SIC157,SI75234687
SIC158,SI74986116
SIC159,SI35305819
SIC160,SI85277647
SIC161,SI33718538
SIC162,SI04802426
SIC163,SI62176329
SIC164,SI1614335
SIC165,SI2101294
SIC166,SI2095379
SIC167,SI1534427
SIC168,SI42207766
SIC169,SI02921541
SIC170,SI12921557
SIC171,SI54165027
SIC172,SI64128913
SIC173,SI44165389
SIC174,SI44129693
SIC175,SI24210553
SIC176,SI54164624
SIC177,SI14775280
SIC178,SI12520895
SIC179,SI25081587
SIC180,SI54525847
SIC181,SI02433750
SIC182,SI95208091
SIC183,SI73829397
SIC184,SI22859750
SIC185,SI23909724
SIC186,SI84165103
SIC187,SI24291594
SIC188,SI04374172
SIC189,SI83902312
SIC190,SI43826919
SIC191,SI14929513
SIC192,SI24861850
SIC193,SI05003022
SIC194,SI04959449
SIC195,SI75024464
SIC196,SI74574959
SIC197,SI92932085
SIC198,SI82932086
SIC199,SI92520897
SIC200,SI1995618
SIC201,SI82268286
SIC202,SI1895717
SIC203,SI93599531
SIC204,SI93405498
SIC205,SI33602660
SIC206,SI54596669
SIC207,SI04705604
SIC208,SI13538510
SIC209,SIADM100192
