12345083,SI04574042
12345018,SI04579274
12345016,SI04654869
12345092,SI04799348
12345081,SI14574041
12345009,SI14693959
12345012,SI14830891
SANTIAGO (131950),SI24645663
12345091,SI24652119
12345008,SI24693958
12345019,SI24785082
ATOL (131838),SI34334087
12345087,SI34577781
12345004,SI34720910
12345086,SI34755060
WIX (131877),SI44446273
12345017,SI44778840
12345020,SI54574047
12345005,SI54744941
12345094,SI54798706
12345014,SI54804636
12345003,SI64666912
12345097,SI64702203
12345084,SI64769297
SINAJ (131778),SI74045020
DIRES (131900),SI74480342
12345015,SI74579260
12345010,SI74747715
12345007,SI74773787
12345090,SI84750383
12345082,SI84776947
12345013,SI84800330
12345095,SI84804626
12345011,SI94652136
12345085,SI94704312
12345093,SI94705485
12345089,SI94750382
12345096,SI94806555
12345006,SI64785095
4568384,SI04568384
4311687,SI04311687
4833280,SI04833280
94993294,ERR94993294
PARALLEL (781409),DE0358110848
POPSTAR (781408),NL758140364
ROCKY (781209),NL925887513
(173) 04087740,SI04087740
(156) 04118800,SI04118800
(157) 04291596,SI04291596
(113) 04479978,SI04479978
(186) 04704342,SI04704342
(179) 04936431,SI04936431
(170) 13507945,SI13507945
(139) 13981176,SI13981176
(172) 14087732,SI14087732
(119) 14160875,SI14160875
(135) 14291605,SI14291605
(168) 14372007,SI14372007
(130) 14526581,SI14526581
(110) 14700378,SI14700378
(115) 14703766,SI14703766
(133) 24291635,SI24291635
(163) 24372006,SI24372006
(181) 24732020,SI24372020
(108) 24700391,SI24700391
(117) 24703765,SI24703765
(138) 33622376,SI33622376
(144) 33924812,SI33924812
(103) 34161283,SI34161283
(141) 34291603,SI34291603
(143) 34291634,SI34291634
(118) 34309793,SI34309793
(114) 34309841,SI34309841
(160) 34526596,SI34526596
(111) 34566011,SI34566011
(109) 34700390,SI34700390
(190) 34704325,SI34704325
(125) 34705481,SI34705481
(126) 34800304,SI34800304
( 171) 34087722,SI44087722
(107) 44163600,SI44163600
(149) 44291626,SI44291626
(164) 44372011,SI44372011
(158) 44526588,SI44526588
(159) 44526605,SI44526605
(188) 44704331,SI44704331
(177) 44936437,SI44936437
(161) 53159452,SI53159452
(165) 53507934,SI53507934
(122) 54267301,SI54267301
(152) 54291618,SI54291618
(150) 54291625,SI54291625
(120) 54312566,SI54312566
