"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI22172109",1081224,08.05.01,"2"
"SI32153390",1082264,18.04.01,"2"
"SI82153388",1082268,17.03.01,"1"
"SI73006819",2196312,06.06.06,"1"
"SI83006818",2196313,03.06.06,"2"
"SI42677372",2196346,13.06.06,"2"
"SI93008369",2196511,05.06.06,"2"
"SI23006869",2200888,04.09.06,"2"
"SI83006870",2200889,04.09.06,"1"
"FR1637190109",2200994,13.10.05,"2"
"FR4305005273",2201006,08.10.05,"2"
"SI73128861",2201248,03.07.06,"1"
"SI83128860",2201251,30.06.06,"2"
"SI93268123",2201268,14.09.06,"1"
"SI43221455",2201276,19.09.06,"1"
"SI43008371",2201822,28.06.06,"2"
"SI43128857",2202621,04.06.06,"1"
"SI53128856",2202623,29.05.06,"1"
"SI63128855",2202624,27.05.06,"1"
"SI73128854",2202626,25.05.06,"2"
"SI83128853",2202627,23.05.06,"2"
"SI93128852",2202629,19.05.06,"2"
"SI03128851",2202631,18.05.06,"1"
"SI13128850",2202636,17.05.06,"1"
"SI03128837",2202638,12.03.06,"2"
"SI13128836",2202641,27.02.06,"1"
"SI23128835",2202643,26.02.06,"2"
"FR4305005231",2202672,31.08.05,"2"
"FR4305005219",2203070,23.08.05,"2"
"SI43114744",2203445,28.08.06,"2"
"SI53114743",2203446,22.08.06,"1"
"SI63114742",2203447,22.08.06,"1"
"SI73114741",2203452,25.07.06,"2"
"FR1526937061",2203589,11.10.05,"2"
"FR1526937073",2204639,30.10.05,"2"
"FR1526937082",2204648,20.11.05,"2"
"FR1637190111",2204659,19.10.05,"2"
"FR1637190126",2204662,11.11.05,"2"
"FR2306651099",2204666,03.11.05,"2"
"FR2305247314",2204668,03.10.05,"2"
"FR4305005244",2204670,04.09.05,"2"
"FR1526206541",2204671,29.09.05,"2"
"FR1526206524",2204672,13.09.05,"2"
"FR1526206531",2204673,18.09.05,"2"
"FR1526206532",2204674,18.09.05,"2"
"SI43235991",2205824,23.07.06,"1"
"SI83261419",2209538,02.10.06,"1"
"SI73008622",2209930,15.08.06,"1"
"SI43260838",2211097,25.08.06,"1"
"SI93008620",2211360,27.05.06,"2"
"SI73255374",2211991,01.10.06,"2"
"SI53256377",2213566,16.09.06,"2"
"SI63000656",2213791,27.09.06,"2"
"SI23107654",2214208,16.10.06,"1"
"SI33268363",2215474,07.10.06,"2"
"SK800160555",2215591,05.12.04,"2"
"SI83268117",2216709,21.10.06,"1"
"SI93274520",2216728,15.10.06,"2"
"SI53260844",2217617,09.10.06,"2"
"SI63260362",2217717,20.10.06,"1"
"SI82675462",2221982,21.07.06,"2"
"SI13026033",2222511,12.08.06,"1"
"SI63006920",2222660,28.07.06,"1"
"SI43272530",2225313,05.11.06,"1"
"SI33250610",2225595,17.09.06,"1"
"SI53227917",2227506,08.10.06,"1"
"SI63227916",2227508,08.10.06,"2"
"SI23213302",2227530,28.09.06,"1"
"AT314645709",2228398,03.01.06,"2"
"CZ112024942",2228523,28.12.05,"2"
"CZ112027942",2228526,22.02.06,"2"
"CZ118113942",2228532,10.06.06,"2"
"SI83227938",2231107,10.11.06,"1"
"SI93107808",2231702,01.07.06,"2"
"SI63265295",2232755,15.10.06,"1"
"SI33107811",2234102,10.07.06,"2"
"SI62691200",2234656,25.09.06,"1"
"SI82691631",2234657,03.11.06,"1"
"SI72691632",2234671,03.11.06,"2"
"SI63268119",2234973,23.11.06,"2"
"SI53000657",2235653,21.11.06,"1"
"SI83301120",2235750,04.09.06,"2"
"SI93227762",2236131,04.11.06,"2"
"SI43107810",2240272,21.11.06,"1"
"SI63274293",2240776,17.09.06,"2"
"SI03274299",2241052,25.11.06,"2"
"SI53226291",2244486,01.12.06,"1"
"SI83306503",2247202,12.12.06,"1"
"SI93296513",2249396,15.12.06,"1"
"SI33255213",2251208,13.12.06,"1"
"SI33230856",2251362,30.11.06,"1"
"SI43314511",2251610,25.12.06,"2"
"SI23296905",2252158,18.10.06,"1"
"SI13296906",2252168,18.10.06,"1"
"SI93296908",2252175,10.03.06,"2"
"SI23265811",2252380,12.11.06,"2"
"SI63230712",2252440,09.12.06,"2"
"SI23282270",2252582,20.12.06,"2"
"SI13295273",2252687,15.12.06,"1"
"SI23295272",2252688,16.12.06,"2"
"SI33295271",2255561,10.12.06,"1"
"SI73275516",2258784,20.12.06,"1"
"SI03213287",2259740,29.12.06,"2"
"SI33314512",2263846,06.01.07,"1"
"SI73265500",2263886,10.01.07,"2"
"SI33107660",2263903,27.12.06,"2"
"SI73256117",2263916,28.10.06,"1"
"SI63256118",2263919,14.11.06,"2"
"SI03265521",2267323,17.01.07,"1"
"SI33270474",2268163,07.01.07,"2"
"SI73265081",2270825,13.01.07,"2"
"SI53265533",2271051,24.01.07,"2"
"SI03284133",2271242,17.01.07,"2"
"SI13284132",2271255,19.01.07,"1"
"SI13144562",2271755,28.10.06,"2"
"SI53315456",2272834,20.01.07,"1"
"SI43315457",2272835,21.01.07,"2"
"SI53118321",2275854,10.11.06,"1"
"SI83145621",2275958,14.11.06,"2"
"SI73282093",2278147,29.01.07,"1"
"SI33317467",2279604,18.01.07,"2"
"SI43317466",2279606,16.01.07,"1"
"CZ118687962",2282299,03.01.06,"2"
"SI53316505",2283015,04.02.07,"1"
"SI33115368",2283376,10.01.07,"2"
"SI43115367",2283384,02.01.07,"2"
"SI23107812",2284543,18.02.07,"1"
"SI83326831",2284867,17.02.07,"1"
"SI73326832",2284868,17.02.07,"1"
"SI13328517",2286047,11.02.07,"2"
"SI23145524",2286062,08.02.07,"1"
"SI93317461",2286140,15.02.07,"2"
"SI03314876",2286143,16.02.07,"1"
"SI63265288",2287059,10.02.07,"2"
"SI33314677",2287457,16.02.07,"2"
"SI33316985",2287637,27.02.07,"1"
"SI33276281",2287664,14.02.07,"1"
"SI13316509",2288294,24.02.07,"1"
"SI73316510",2288302,19.02.07,"1"
"SI53341215",2290775,02.02.07,"2"
"SI03326846",2291116,24.02.07,"1"
"SI93326847",2291119,24.02.07,"1"
"SI83326848",2291121,27.02.07,"2"
"SI33284422",2291231,23.02.07,"2"
"SI13115566",2291490,22.02.07,"2"
"SI33115564",2291492,13.02.07,"2"
"SI73284590",2292577,25.02.07,"1"
"SI53285476",2292840,14.02.07,"1"
"SI63316511",2292922,27.02.07,"2"
"SI93317825",2293673,03.03.07,"1"
"SI23317822",2293679,21.02.07,"1"
"SI03317824",2293681,26.02.07,"1"
"SI73256124",2293697,15.02.07,"1"
"SI33317821",2293698,19.02.07,"2"
"SI13317823",2293700,25.02.07,"2"
"SI73326870",2295066,26.02.07,"2"
"SI93115568",2295213,28.02.07,"1"
"SI03115567",2295214,28.02.07,"1"
"SI33340704",2295333,10.02.07,"2"
"SI03284889",2295830,02.03.07,"1"
"SI43337969",2296325,05.03.07,"2"
"SI03337970",2296327,26.02.07,"2"
"SI23284595",2296344,27.12.06,"2"
"SI73284600",2296347,01.03.07,"1"
"SI23285503",2296367,07.03.07,"2"
"SI03326884",2296468,13.03.07,"1"
"SI23317846",2297155,16.03.07,"1"
"SI23314898",2297224,06.03.07,"2"
"SI83260690",2297376,22.02.07,"2"
"SI13314703",2297687,28.02.07,"2"
"SI43316544",2298115,17.03.07,"1"
"SI83265475",2300315,16.03.07,"2"
"SI93317533",2300317,15.03.07,"2"
"SI83317534",2300319,18.03.07,"2"
"SI73316912",2300380,01.03.07,"2"
"SI83316911",2300384,20.02.07,"2"
"SI03284449",2300397,05.03.07,"1"
"SI33319074",2301171,01.03.07,"2"
"SI43115570",2301175,20.03.07,"2"
"SI83115569",2301176,13.03.07,"2"
"SI62691640",2302124,25.12.06,"2"
"SI03316988",2302486,18.03.07,"1"
"SI03364149",2302514,22.03.07,"1"
"SI93314712",2303213,18.03.07,"2"
"SI33320232",2303454,12.11.06,"1"
"SI53320285",2303458,23.03.07,"1"
"SI73317573",2303738,27.01.07,"1"
"SI23316546",2303793,23.03.07,"2"
"SI03316517",2303794,22.03.07,"1"
"SI13316516",2303795,21.03.07,"1"
"SI23316515",2303796,18.03.07,"2"
"SI33316514",2303797,17.03.07,"1"
"SI43316513",2303799,16.03.07,"2"
"SI53316512",2303800,16.03.07,"1"
"SI93324247",2304463,24.03.07,"1"
"SI13324245",2304465,21.03.07,"1"
"SI33324243",2304469,22.03.07,"1"
"SI73324249",2304475,21.03.07,"2"
"SI03324246",2304478,25.03.07,"1"
"SI33324250",2304481,19.03.07,"2"
"SI13341422",2304539,19.03.07,"1"
"SI32677373",2304988,04.01.07,"2"
"SI22677374",2304994,09.01.07,"1"
"SI12677375",2305009,09.01.07,"2"
