"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"CA11775998",999999,"08.05.01",2
"HOUSAM000070372014",999999,"08.05.01",2
"CA12949010",999999,"08.05.01",2
"HOCANM000012638346",999999,"08.05.01",2
"HOCANM000012648593",999999,"08.05.01",2
"HOCANM000012857690",999999,"08.05.01",2
"HOCANM000012857898",999999,"08.05.01",2
"HOCANM000013269308",999999,"08.05.01",2
"HOCANM000012192423",999999,"08.05.01",2
"HOCANM000012192429",999999,"08.05.01",2
"HOCANM000012302901",999999,"08.05.01",2
"HOCANM000108798853",999999,"08.05.01",2
